GROUP,Sample,0,10,20,30,40,50,60,70,80,90,100,110,120,rate of change,concentration change,amount TNB/s (M),amount TNB/s (nM),amount TNB/min (nM),protein concentration (ug/mL),protein amount
AM_G1 & G6,Negative control,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000000,,,,,0,0
AM_G1 & G6,Diseased cells - cytosolic fraction,0,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.0000170330,,,,,825.8015,41.29007279
AM_G1 & G6,Diseased cells - mitochondrial fraction,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.0000142857,,,,,989.9017,49.49508506
AM_G1 & G6,Diseased – 10 μM Respiranox cells - cytosolic fraction,0,0.005,0.002,0.008,0.006,0.003,0.002,0.002,0.001,0.001,0.001,0.002,0.001,-0.0000247253,,,,,402.9539,20.14769676
AM_G1 & G6,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,-0.001,0,0,0,0,0,0,0,0.001,0,0,0,0.0000043956,,,,,113.5655,5.67827677
AM_G1 & G6,Positive control,0,0,0.033,0.024,0.019,0.017,0.015,0.014,0.012,0.011,0.011,0.01,0.009,-0.0000219780,,,,,352,3.52
AM_G39 & G40,Negative control,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,-0.003,-0.0000186813,,,,,0,0
AM_G39 & G40,Diseased cells - cytosolic fraction,0.006,0.017,0.020,0.024,0.028,0.030,0.033,0.037,0.038,0.040,0.043,0.045,0.047,0.0003038462,,,,,163.1409,8.15704625
AM_G39 & G40,Diseased cells - mitochondrial fraction,0.043,0.065,0.090,0.119,0.142,0.153,0.158,0.161,0.164,0.167,0.168,0.169,0.171,0.0009868132,,,,,881.5051,44.07525351
AM_G39 & G40,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.012,0.024,0.030,0.035,0.039,0.043,0.045,0.047,0.050,0.052,0.054,0.056,0.057,0.0003313187,,,,,306.8138,15.3406877
AM_G39 & G40,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.016,-0.006,0.004,0.017,0.031,0.044,0.056,0.067,0.078,0.089,0.100,0.111,0.121,0.0011670330,,,,,-24.1104,-1.205519624
AM_G39 & G40,Positive control,0.086,0.131,0.158,0.173,0.182,0.186,0.191,0.192,0.191,0.191,0.190,0.189,0.190,0.0006153846,,,,,352,3.52
AM_G41 & G42,Negative control,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.0000021978,,,,,0,0
AM_G41 & G42,Diseased cells - cytosolic fraction,0.001,0.004,0.016,0.021,0.025,0.028,0.031,0.035,0.036,0.037,0.042,0.045,0.048,0.0003670330,,,,,95.5182,4.775911148
AM_G41 & G42,Diseased cells - mitochondrial fraction,0.020,0.045,0.067,0.091,0.110,0.134,0.158,0.165,0.166,0.168,0.169,0.170,0.171,0.0012708791,,,,,882.2250,44.1112494
AM_G41 & G42,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.003,0.008,0.016,0.024,0.032,0.041,0.046,0.052,0.058,0.064,0.067,0.069,0.071,0.0006043956,,,,,-39.6360,-1.981798402
AM_G41 & G42,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0.000,0.004,0.018,0.035,0.045,0.054,0.067,0.074,0.084,0.096,0.103,0.112,0.121,0.0010368132,,,,,578.3234,28.91616839
AM_G41 & G42,Positive control,0.000,0.020,0.046,0.063,0.074,0.091,0.095,0.098,0.106,0.115,0.125,0.130,0.140,0.0010620879,,,,,352,3.52
AM_G43 & G44,Negative control,-0.043,-0.046,-0.049,-0.048,-0.048,-0.049,-0.049,-0.048,-0.048,-0.048,-0.047,-0.047,-0.047,-0.0000109890,,,,,0,0
AM_G43 & G44,Diseased cells - cytosolic fraction,-0.046,-0.046,-0.047,-0.049,-0.049,-0.049,-0.049,-0.050,-0.052,-0.053,-0.052,-0.053,-0.053,-0.0000637363,,,,,546.5417,27.32708501
AM_G43 & G44,Diseased cells - mitochondrial fraction,-0.023,-0.016,-0.005,0.005,0.017,0.029,0.043,0.055,0.066,0.077,0.088,0.098,0.106,0.0011296703,,,,,973.2473,48.66236266
AM_G43 & G44,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.044,-0.047,-0.048,-0.050,-0.050,-0.049,-0.046,-0.042,-0.036,-0.031,-0.031,-0.031,-0.032,0.0001714286,,,,,658.0733,32.90366603
AM_G43 & G44,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.046,-0.039,-0.028,-0.016,-0.003,0.009,0.019,0.030,0.038,0.045,0.052,0.059,0.065,0.0009681319,,,,,1084.7789,54.23894368
AM_G43 & G44,Positive control,-0.009,0.027,0.049,0.063,0.073,0.081,0.088,0.092,0.094,0.095,0.096,0.097,0.097,0.0007269231,,,,,352,3.52
AM_G45 & G46,Negative control,0.003,0.006,0.005,0.005,0.006,0.007,0.008,0.009,0.009,0.010,0.010,0.010,0.010,0.0000576923,,,,,0,0
AM_G45 & G46,Diseased cells - cytosolic fraction,0.006,0.017,0.020,0.024,0.028,0.030,0.033,0.037,0.038,0.040,0.043,0.045,0.047,0.0003038462,,,,,183.5340,9.176700869
AM_G45 & G46,Diseased cells - mitochondrial fraction,-0.020,-0.015,-0.007,-0.001,-0.007,0.015,0.023,0.032,0.039,0.046,0.054,0.063,0.070,0.0007824176,,,,,149.6295,7.481474063
AM_G45 & G46,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.067,-0.067,-0.065,-0.060,-0.056,-0.050,-0.049,-0.051,-0.051,-0.052,-0.054,-0.055,-0.055,0.0001148352,,,,,422.8602,21.14300774
AM_G45 & G46,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.028,-0.016,-0.002,0.014,0.030,0.045,0.059,0.073,0.085,0.096,0.105,0.114,0.122,0.0012971429,,,,,769.2183,38.46091296
AM_G45 & G46,Positive control,0.022,0.080,0.110,0.129,0.142,0.151,0.159,0.164,0.170,0.174,0.178,0.181,0.184,0.0010730769,,,,,352,3.52
AM_G47 & G48,Negative control,-0.036,-0.036,-0.035,0,-0.037,-0.036,0,0,-0.034,-0.032,0.032,0.03,-0.028,0.0003252747,,,,,0,0
AM_G47 & G48,Diseased cells - cytosolic fraction,-0.057,-0.057,-0.056,-0.055,-0.054,-0.053,-0.052,-0.053,-0.052,-0.05,-0.049,-0.049,-0.049,0.0000741758,,,,,167.3136,8.365678401
AM_G47 & G48,Diseased cells - mitochondrial fraction,0,0.017,0.034,0.052,0.069,0.085,0.101,0.117,0.133,0.148,0.162,0.177,0.191,0.0015967033,,,,,477.7052,23.88526213
AM_G47 & G48,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.045,-0.043,-0.039,-0.039,-0.036,-0.036,-0.034,-0.032,-0.03,-0.027,-0.024,-0.022,-0.02,0.0002016484,,,,,246.1053,12.30526504
AM_G47 & G48,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.018,0.002,0.023,0.045,0.066,0.083,0.1,0.113,0.125,0.134,0.141,0.149,0.155,0.0014615385,,,,,363.0991,18.15495429
AM_G47 & G48,Positive control,-0.012,0.003,0.016,0.027,0.036,0.044,0.05,0.058,0.064,0.07,0.075,0.08,0.086,0.0007736264,,,,,352,3.52
AM_G57 & G58,Negative control,0,0.006,0.001,0,0,0,0,0,0,0,0,0,0,-0.0000186813,,,,,0,0
AM_G57 & G58,Diseased cells - cytosolic fraction,0,-0.006,-0.001,0.001,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0000247253,,,,,2792.8970,139.6448518
AM_G57 & G58,Diseased cells - mitochondrial fraction,0,-0.004,0.009,0.01,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.0000313187,,,,,2792.0101,139.6005042
AM_G57 & G58,Diseased – 10 μM Respiranox cells - cytosolic fraction,0,-0.005,0.008,0.007,0.008,0.002,0.001,-0.001,-0.002,-0.001,0,0.001,0,-0.0000269231,,,,,2784.9145,139.2457237
AM_G57 & G58,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.001,0.008,0.007,0.007,0.006,0.005,-0.001,0.001,0.008,0.009,0.008,0.007,0.0000357143,,,,,2800.8796,140.0439799
AM_G57 & G58,Positive control,0,0.041,0.028,0.021,0.013,0.004,0.003,0.007,0.005,0.004,0.004,0.004,0.004,-0.0001763736,,,,,352,3.52
AM_G59 & G60,Negative control,-0.012,-0.012,-0.013,-0.013,-0.014,-0.014,-0.013,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.0000159341,,,,,0,0
AM_G59 & G60,Diseased cells - cytosolic fraction,-0.057,-0.057,-0.058,-0.057,-0.056,-0.056,-0.056,-0.056,-0.054,-0.053,-0.054,-0.053,-0.051,0.0000483516,,,,,500.2769,25.0138457
AM_G59 & G60,Diseased cells - mitochondrial fraction,-0.032,-0.016,0.001,0.017,0.033,0.048,0.064,0.079,0.094,0.109,0.123,0.138,0.153,0.0015368132,,,,,828.2874,41.41437222
AM_G59 & G60,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.065,-0.064,-0.062,-0.06,-0.058,-0.057,-0.054,-0.051,-0.049,-0.047,-0.045,-0.042,-0.041,0.0002115385,,,,,310.3160,15.51580164
AM_G59 & G60,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.027,-0.012,0.006,0.025,0.041,0.057,0.072,0.084,0.094,0.103,0.11,0.116,0.121,0.0012697802,,,,,649.1652,32.45825861
AM_G59 & G60,Positive control,0.055,0.089,0.109,0.121,0.128,0.134,0.138,0.141,0.143,0.145,0.146,0.147,0.147,0.0006038462,,,,,352,3.52
PM_G3 & G4,Negative control,-0.027,-0.027,-0.028,-0.028,-0.028,-0.028,-0.029,-0.029,-0.029,-0.029,-0.028,-0.029,-0.029,-0.0000153846,,,,,0,0
PM_G3 & G4,Diseased cells - cytosolic fraction,-0.036,-0.035,-0.033,-0.033,-0.032,-0.031,-0.029,-0.028,-0.027,-0.026,-0.025,-0.025,-0.025,0.0001000000,,,,,45.6343,2.28171434
PM_G3 & G4,Diseased cells - mitochondrial fraction,-0.015,0.002,0.021,0.038,0.057,0.073,0.087,0.098,0.108,0.116,0.123,0.13,0.135,0.0012686813,,,,,168.2380,8.411899029
PM_G3 & G4,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.034,-0.033,-0.031,-0.031,-0.03,-0.029,-0.027,-0.026,-0.025,-0.023,-0.022,0.021,0.019,0.0003631868,,,,,45.6343,2.28171434
PM_G3 & G4,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.026,-0.018,-0.009,0,0.012,0.024,0.035,0.045,0.054,0.064,0.073,0.082,0.09,0.0010005495,,,,,374.8479,18.74239545
PM_G3 & G4,Positive control,0.027,0.084,0.119,0.141,0.164,0.169,0.177,0.184,0.19,0.195,0.2,0.203,0.205,0.0012175824,,,,,352,3.52
PM_G7 & G8,Negative control,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,0.0000000000,,,,,0,0
PM_G7 & G8,Diseased cells - cytosolic fraction,-0.033,-0.031,-0.031,-0.030,-0.029,-0.027,-0.025,-0.023,-0.022,-0.023,-0.022,-0.021,-0.020,0.0001115385,,,,,114.2826,5.714127605
PM_G7 & G8,Diseased cells - mitochondrial fraction,-0.017,-0.011,-0.002,0.009,0.020,0.032,0.043,0.053,0.064,0.072,0.080,0.087,0.094,0.0009791209,,,,,358.9673,17.94836716
PM_G7 & G8,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.034,-0.032,-0.030,-0.028,-0.027,-0.026,-0.025,-0.023,-0.022,-0.022,-0.021,-0.019,-0.019,0.0001219780,,,,,114.2826,5.714127605
PM_G7 & G8,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.032,-0.027,-0.020,-0.011,-0.002,0.007,0.016,0.025,0.035,0.044,0.053,0.061,0.070,0.0008796703,,,,,-40.8182,-2.040909492
PM_G7 & G8,Positive control,-0.013,-0.003,0.013,0.031,0.049,0.067,0.083,0.100,0.113,0.125,0.136,0.145,0.153,0.0014675824,,,,,352,3.52
PM_G9 & G10,Negative control,-0.006,-0.007,-0.007,-0.006,-0.005,-0.004,-0.004,-0.004,-0.003,-0.005,-0.005,-0.005,-0.005,0.0000170330,,,,,0,0
PM_G9 & G10,Diseased cells - cytosolic fraction,-0.010,-0.005,-0.003,-0.001,0.001,0.004,0.006,0.008,0.010,0.012,0.013,0.016,0.018,0.0002186813,,,,,149.1113,7.455565935
PM_G9 & G10,Diseased cells - mitochondrial fraction,,,,,,,,,,,,,,#DIV/0!,,,,,849.9351,42.49675385
PM_G9 & G10,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.07,0.088,0.077,0.079,0.092,0.098,0.102,0.105,0.108,0.113,0.119,0.123,0.128,0.0004571429,,,,,149.1113,7.455565935
PM_G9 & G10,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0.064,0.073,0.083,0.089,0.093,0.1,0.106,0.112,0.117,0.123,0.129,0.135,0.141,0.0006142857,,,,,766.6881,38.3344028
PM_G9 & G10,Positive control,0.007,-0.003,0.003,0.012,0.016,0.016,0.016,0.016,0.017,0.018,0.019,0.02,0.021,0.0001554945,,,,,352,3.52
PM_G11 & G12,Negative control,-0.045,-0.035,-0.036,-0.038,-0.040,-0.041,-0.041,-0.042,-0.041,-0.042,-0.042,-0.042,-0.042,-0.0000307692,,,,,0,0
PM_G11 & G12,Diseased cells - cytosolic fraction,-0.059,-0.062,-0.067,-0.068,-0.066,-0.066,-0.064,-0.062,-0.061,-0.061,-0.060,-0.059,-0.059,0.0000428571,,,,,174.8576,8.742878568
PM_G11 & G12,Diseased cells - mitochondrial fraction,-0.028,-0.026,-0.021,-0.013,-0.050,0.003,0.010,0.017,0.024,0.029,0.035,0.039,0.044,0.0006972527,,,,,-159.9875,-7.999376279
PM_G11 & G12,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.067,-0.064,-0.062,-0.060,-0.059,-0.057,-0.056,-0.054,-0.054,-0.053,-0.051,-0.050,-0.051,0.0001340659,,,,,174.8576,8.742878568
PM_G11 & G12,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.045,-0.041,-0.034,-0.027,-0.019,-0.010,-0.020,0.005,0.013,0.020,0.025,0.031,0.037,0.0007186813,,,,,190.5664,9.528317684
PM_G11 & G12,Positive control,-0.018,0.019,0.044,0.061,0.073,0.080,0.086,0.092,0.095,0.099,0.103,0.106,0.108,0.0008774725,,,,,352,3.52